,<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
948,VCB,20190823,60891.148331785946,61043.376202615415,60282.23684846809,60282.23684846809,633508
949,VCB,20190822,61043.376202615415,61195.60407344488,60586.692590127015,60891.148331785946,782090
950,VCB,20190821,58531.61633392924,61119.49013803015,58379.38846309978,60891.148331785946,2007720
951,VCB,20190820,59216.64175266183,59216.64175266183,58379.38846309978,58531.61633392924,453760
952,VCB,20190819,59292.75568807657,59749.43930056496,58379.38846309978,58455.50239851451,692740
953,VCB,20190816,59216.64175266183,59825.55323597969,59216.64175266183,59292.75568807657,631180
954,VCB,20190815,56780.9958193904,60130.00897763862,56780.9958193904,60130.00897763862,539330
955,VCB,20190814,59368.8696234913,59368.8696234913,58074.93272144085,58074.93272144085,354750
956,VCB,20190813,58759.95814017344,58988.29994641764,57770.47697978192,58074.93272144085,909300
957,VCB,20190812,59749.43930056496,59977.78110680916,58759.95814017344,59140.5278172471,586000
958,VCB,20190809,59901.66717139442,60434.46471929755,59673.32536515023,59749.43930056496,720950
959,VCB,20190808,59749.43930056496,60738.92046095648,59444.98355890603,59749.43930056496,812530
960,VCB,20190807,58074.93272144085,59673.32536515023,58074.93272144085,59673.32536515023,592830
961,VCB,20190806,58151.04665685558,58531.61633392924,57694.36304436719,58074.93272144085,1202520
962,VCB,20190805,60282.23684846809,60662.80652554175,58683.84420475871,58912.1860110029,857570
963,VCB,20190802,60662.80652554175,61271.71800885961,60206.12291305336,60206.12291305336,705000
964,VCB,20190801,61043.376202615415,61271.71800885961,60662.80652554175,61271.71800885961,538850
965,VCB,20190731,60891.148331785946,61271.71800885961,60586.692590127015,61043.376202615415,512820
966,VCB,20190730,62413.4270400806,62793.99671715426,61347.831944274345,61347.831944274345,1633490
967,VCB,20190729,59749.43930056496,61652.28768593328,59597.21142973549,61652.28768593328,986830
968,VCB,20190726,59140.5278172471,60662.80652554175,58988.29994641764,59749.43930056496,942260
969,VCB,20190725,58531.61633392924,59216.64175266183,58379.38846309978,59140.5278172471,831360
970,VCB,20190724,60510.57865471229,60510.57865471229,58227.16059227031,58531.61633392924,1717620
971,VCB,20190723,60053.89504222389,60358.35078388282,59749.43930056496,60053.89504222389,659640
972,VCB,20190722,60130.00897763862,60510.57865471229,59901.66717139442,60130.00897763862,1004520
973,VCB,20190719,58151.04665685558,60738.92046095648,58151.04665685558,60130.00897763862,1368760
